,datetime,t1,t2,hum,dew,pressure,icon,wind_dir_deg,wind_speed,other
0,2015-01-01 00:20:00,6,3,76,2,1031.0,1,210,19, 
1,2015-01-01 00:50:00,6,3,81,3,1032.0,2,240,19, Scattered Clouds at 550m  
2,2015-01-01 01:20:00,6,3,81,3,1032.0,4,220,19, Cloudy at 490m  
3,2015-01-01 01:50:00,7,4,81,4,1031.0,4,210,17, Cloudy at 490m  
4,2015-01-01 02:20:00,7,4,81,4,1031.0,4,210,15, Cloudy at 550m  
5,2015-01-01 02:50:00,7,4,81,4,1032.0,4,230,15, Cloudy at 550m  
6,2015-01-01 03:20:00,7,4,87,5,1031.0,3,210,17, Broken Clouds at 610m  
7,2015-01-01 03:50:00,7,4,87,5,1031.0,3,210,19, Broken Clouds at 610m  
8,2015-01-01 04:20:00,8,5,82,5,1031.0,3,220,17, Broken Clouds at 490m  
9,2015-01-01 04:50:00,8,5,82,5,1031.0,3,220,17, Broken Clouds at 370m  
10,2015-01-01 05:20:00,8,5,87,6,1030.0,3,210,20, Broken Clouds at 300m  
11,2015-01-01 05:50:00,8,5,87,6,1030.0,3,220,19," Few Clouds at 300m, Broken Clouds at 490m  "
12,2015-01-01 06:20:00,8,5,87,6,1029.0,2,230,19, Scattered Clouds at 270m  
13,2015-01-01 06:50:00,8,4,87,6,1030.0,4,220,26," Scattered Clouds at 270m, Cloudy at 430m  "
14,2015-01-01 07:20:00,9,6,82,6,1030.0,4,220,24," Scattered Clouds at 270m, Cloudy at 610m  "
15,2015-01-01 07:50:00,8,4,87,6,1030.0,3,210,24," Scattered Clouds at 240m, Broken Clouds at 270m, Broken Clouds at 610m  "
16,2015-01-01 08:20:00,8,5,87,6,1030.0,3,200,19," Scattered Clouds at 240m, Broken Clouds at 300m  "
17,2015-01-01 08:50:00,8,5,87,6,1030.0,3,200,20, Broken Clouds at 300m  
18,2015-01-01 09:20:00,9,6,82,6,1030.0,3,220,22, Broken Clouds at 270m  
19,2015-01-01 09:50:00,9,5,82,6,1030.0,3,210,28, Broken Clouds at 270m  
20,2015-01-01 10:20:00,9,6,82,6,1030.0,3,210,26, Broken Clouds at 270m  
21,2015-01-01 10:50:00,9,6,82,6,1030.0,3,210,26, Broken Clouds at 340m  
22,2015-01-01 11:20:00,9,6,87,7,1029.0,3,210,26," Scattered Clouds at 270m, Broken Clouds at 430m  "
23,2015-01-01 11:50:00,9,5,82,6,1029.0,3,210,30, Broken Clouds at 270m  
24,2015-01-01 12:20:00,9,6,87,7,1028.0,3,220,26, Broken Clouds at 240m  
25,2015-01-01 12:50:00,9,6,87,7,1028.0,3,220,24, Broken Clouds at 270m  
26,2015-01-01 13:20:00,9,5,87,7,1027.0,3,220,30, Broken Clouds at 270m  
27,2015-01-01 13:50:00,9,5,87,7,1027.0,3,210,28, Broken Clouds at 270m  
28,2015-01-01 14:20:00,10,7,82,7,1026.0,3,220,30, Broken Clouds at 300m  
29,2015-01-01 14:50:00,10,7,82,7,1026.0,3,220,26, Broken Clouds at 300m  
30,2015-01-01 15:20:00,10,7,82,7,1025.0,3,220,30, Broken Clouds at 300m  
31,2015-01-01 15:50:00,10,6,88,8,1025.0,3,220,31, Broken Clouds at 340m  
32,2015-01-01 16:20:00,10,7,88,8,1025.0,3,220,30, Broken Clouds at 340m  
33,2015-01-01 16:50:00,10,7,82,7,1024.0,3,220,26, Broken Clouds at 370m  
34,2015-01-01 17:20:00,11,11,77,7,1024.0,3,220,28, Broken Clouds at 460m  
35,2015-01-01 17:50:00,10,7,82,7,1023.0,3,220,30, Broken Clouds at 460m  
36,2015-01-01 18:20:00,11,11,77,7,1024.0,3,220,33, Broken Clouds at 430m  
37,2015-01-01 18:50:00,11,11,77,7,1023.0,3,220,35, Broken Clouds at 370m  
38,2015-01-01 19:20:00,11,11,77,7,1023.0,7,220,30, Broken Clouds at 300m Light Rain 
39,2015-01-01 19:50:00,11,11,82,8,1022.0,7,220,33, Cloudy at 340m Light Rain 
40,2015-01-01 20:20:00,11,11,82,8,1022.0,3,220,31, Broken Clouds at 300m  
41,2015-01-01 20:50:00,11,11,82,8,1022.0,3,230,35, Broken Clouds at 300m  
42,2015-01-01 21:20:00,11,11,88,9,1021.0,3,220,26, Broken Clouds at 300m  
43,2015-01-01 21:50:00,11,11,88,9,1021.0,3,230,35," Scattered Clouds at 270m, Broken Clouds at 370m  "
44,2015-01-01 22:20:00,12,12,82,9,1020.0,4,220,31, Cloudy at 300m  
45,2015-01-01 22:50:00,12,12,88,10,1020.0,7,230,35, Broken Clouds at 300m Rain 
46,2015-01-01 23:20:00,13,13,82,10,1020.0,3,230,31, Broken Clouds at 370m  
47,2015-01-01 23:50:00,13,13,82,10,1020.0,3,230,35, Broken Clouds at 300m  
48,2015-01-02 00:20:00,13,13,82,10,1019.0,3,240,31," Broken Clouds at 370m, Broken Clouds at 550m  "
49,2015-01-02 00:50:00,13,13,82,10,1019.0,4,240,30, Cloudy at 370m  
50,2015-01-02 01:20:00,13,13,88,11,1019.0,3,240,30, Broken Clouds at 300m Haze 
51,2015-01-02 01:50:00,13,13,88,11,1019.0,7,240,30," Scattered Clouds at 270m, Broken Clouds at 430m Light Rain Shower "
52,2015-01-02 02:20:00,13,13,88,11,1019.0,7,240,26," Few Clouds at 240m, Broken Clouds at 300m, Broken Clouds at 490m Light Rain Shower "
53,2015-01-02 02:50:00,13,13,88,11,1019.0,7,250,30," Few Clouds at 270m, Broken Clouds at 370m, Broken Clouds at 550m Light Rain Shower "
54,2015-01-02 03:20:00,13,13,94,12,1020.0,7,260,28," Few Clouds at 210m, Broken Clouds at 370m, Broken Clouds at 550m Rain Shower "
